istasyon_adi,lat,lon,brand,has_lpg,has_charge
ESKİŞEHİR MERKEZ PETROL VE TİCARET ANONİM ŞİRKETİ,39.797451,30.521778,Alpet,True,False
BEYDAĞI PETROL MADENCİLİK TARIM ÜRÜNLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,37.702188,32.57163,Alpet,True,False
SAK KAYA PETROL GIDA İNŞAAT SANAYİ TİCARET LİMİTED ŞİRKETİ,37.1531,33.2184,Alpet,True,False
ALPET İSTASYON İŞLETMELERİ ANONİM ŞİRKETİ,40.8603,29.3864,Alpet,True,False
KONYA TURİZM OTO NAKLİYAT VE PETROL ÜRÜNLERİ SANAYİ TİCARET LİMİTED ŞİRKETİ,37.8686,32.5365,Alpet,True,False
AHMET YILMAZ YILDIRIM,38.2877121,31.931993,Alpet,True,False
ÇUMRA BELEDİYESİ ALİBEYHÜYÜĞÜ UN VE YEM FABRİKASI PETROL İŞLETMESİ,37.533071,32.666368,Alpet,True,False
HEDEFBİR PETROL ÜRÜNLERİ TİCARET LİMİTED ŞİRKETİ,39.02318,31.174444,Alpet,True,False
ESPO OSMANLI DİNLENME TESİSLERİ ANONİM ŞİRKETİ,39.6271,30.8216,Alpet,True,False
ESPO PETROL - Tanker 06BY1323,39.6271,30.8216,Alpet,False,False
HAKAN PETROL TESİSLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,40.778889,29.685278,Alpet,False,False
İSTANBUL ENERJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,41.1132,29.0556,Alpet,False,False
MEHMET NURİ VURAL,37.7339,32.7512,Alpet,False,False
ALPET İSTASYON İŞLETMELERİ ANONİM ŞİRKETİ,40.7877,29.3657,Alpet,True,False
ERGÜNLER LOJİSTİK SANAYİ TİCARET LİMİTED ŞİRKETİ,40.7573,29.8023,Alpet,True,False
ALPET İSTASYON İŞLETMELERİ ANONİM ŞİRKETİ,40.9389,29.1362,Alpet,True,False
ÖZPET PETROL DENİZCİLİK NAKLİYAT İNŞAAT GIDA TURİZM SANAYİ VE TİCARET LİMİTED ŞİRKETİ,36.4623,34.1394,Alpet,True,False
POÇAN PETROL TİCARET LİMİTED ŞİRKETİ,38.2034,32.4033,Alpet,True,False
TUNASAN GIDA SANAYİ VE TİCARET LİMİTED ŞİRKETİ,36.655109,33.364113,Alpet,False,False
HAYDAR ÜNAL NAKLİYAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,37.83882,32.78264,Alpet,True,False
ZENGEN PARK PETROL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,40.4998,30.1305,Alpet,False,False
MOĞULTAY AKARYAKIT İNŞAAT TAAHHÜT TURİZM SANAYİ VE TİCARET LİMİTED ŞİRKETİ,40.71257,29.91818,Alpet,True,False
GÜNEYSINIR BELEDİYESİ UN FABRİKASI PETROL VE OTOBÜS İŞLETMECİLİĞİ,37.2723,32.7226,Alpet,True,False
BAYRAM AYAZ-AYAZ PETROL,38.949257,31.827452,Alpet,True,False
ALTAŞ İNŞAAT HARFİYAT NAKLİYAT TURİZM SANAYİ VE TİCARET LİMİTED ŞİRKETİ,40.751305,30.030569,Alpet,True,False
RAFİ TAZE,41.87707,27.980532,Alpet,False,False
KNTVİZYON YAPI SANAYİ VE TİCARET LİMİTED ŞİRKETİ,40.731044,30.135829,Alpet,False,False
KNTVİZYON YAPI SANAYİ VE TİCARET LİMİTED ŞİRKETİ KARTEPE ŞUBESİ,40.7289,30.1439,Alpet,True,False
ŞAHİNOĞLU ZİRAİ PETROL ÜRÜNLERİ NAKLİYAT VE İNŞAAT MALZEMELERİ SANAYİ TİCARET LİMİTED ŞİRKETİ,38.893992,31.992728,Alpet,True,False
AVCILAR PETROL VE TİCARET ANONİM ŞİRKETİ,40.993816,28.709549,Alpet,True,False
ALKENTLİLER PETROL VE TİCARET ANONİM ŞİRKETİ,41.108421,28.592682,Alpet,False,False
ESENPET ENERJİ VE TİCARET ANONİM ŞİRKETİ,41.012043,28.681671,Alpet,True,False
DOKUZYOL PETROL NAKLİYAT TARIM HAYVANCILIK TİCARETİ VE TURİZM SANAYİ ANONİM ŞİRKETİ,38.2112,32.7489,Alpet,True,False
MEVLÜT BOZKURT PETROL ÜRÜNLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,38.590975,31.068649,Alpet,True,False
GÜRPINAR PETROL VE TİCARET ANONİM ŞİRKETİ,40.996113,28.625212,Alpet,True,False
DURUSU GRUP ENERJİ SANAYİ ANONİM ŞİRKETİ,41.158,28.455191,Alpet,True,False
SOLMAZLAR TURİZM SANAYİ VE TİCARET LİMİTED ŞİRKETİ,40.98953,28.61883,Alpet,True,False
POÇAN PETROL TİCARET LİMİTED ŞİRKETİ,38.3401,32.7801,Alpet,True,False
EZELBEY İNŞAAT MERMER TAŞIMACILIK GIDA PETROL TEMİZLİK REKLAM TEKSTİL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,36.1533,33.3647,Alpet,True,False
ATAER PETROL NAKLİYE İNŞAAT MADENCİLİK MÜTEAHHİTLİK SANAYİ VE TİCARET LİMİTED ŞİRKETİ,36.6995,34.4508,Alpet,True,False
ALİZE PETROL VE KUYUMCULUK GIDA SANAYİ TİCARET LİMİTED ŞİRKETİ,38.08543,31.3916,Alpet,True,False
AKT PETROL AKARYAKIT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,41.094093,28.376468,Alpet,True,False
HASCERAN LOJİSTİK PETROL ÜRÜNLERİ TARIM HAYVANCILIK SANAYİ VE TİCARET LİMİTED ŞİRKETİ,38.3095,32.8621,Alpet,False,False
HALİL TECİM / KIRELİ PETROL OFİSİ,37.921745,31.5371,Alpet,True,False
SİMPET AKARYAKIT VE SERVİS HİZMETLERİ TURİZM TAŞIMACILIK TİCARET VE SANAYİ ANONİM ŞİRKETİ,40.2533,29.1587,Alpet,False,False
BEYAZLAR ZAHİRE TARIM ORMAN ÜRÜNLERİ BAKKALİYE İNŞAAT MALZEMELERİ PETROL ÜRÜNLERİ TURİZM SANAYİ VE TİCARET LİMİTED ŞİRKETİ,40.661552,30.596737,Alpet,True,False
AKARDERE PETROL NAKLİYAT TARIM ÜRÜNLERİ LİMİTED ŞİRKETİ,38.403484,32.882271,Alpet,False,False
ENGİN TOY,40.704967,30.587435,Alpet,True,False
ABDULLAH KUZU,41.039708,30.2933,Alpet,True,False
ALİ AYAN PETROL ÜRÜNLERİ OTOMOTİV GIDA TARIM HAYVANCILIK SANAYİ VE TİCARET ANONİM ŞİRKETİ,38.248234,33.093994,Alpet,True,False
ACIGÖL ARI PETROL TESİSLERİ CANLI HAYVAN VE GIDA MADDELERİ TİCARET VE SANAYİ LİMİTED ŞİRKETİ,37.70575,33.66175,Alpet,True,False
MÜZEHER ŞEN,40.920358,30.479658,Alpet,True,False
RAN PET PETROL GIDA TAŞIMACILIK MADENCİLİK İNŞAAT SANAYİ VE TİCARET ANONİM ŞİRKETİ,36.825775,34.615158,Alpet,False,False
BULDUKOĞULLARI PETROL ULAŞTIRMA OTOMOTİV TİCARET VE SANAYİ LİMİTED ŞİRKETİ,38.729427,32.712498,Alpet,True,False
RAN PET PETROL GIDA TAŞIMACILIK MADENCİLİK İNŞAAT SANAYİ VE TİCARET ANONİM ŞİRKETİ,36.811771,34.642994,Alpet,False,False
ÖMER ÖZBAY,39.064,30.1046,Alpet,True,False
VASFİ AKKIR,41.6240877,27.5378054,Alpet,False,False
ALTINPINAR PETROL NAKLİYAT TİCARET LİMİTED ŞİRKETİ,38.4387,33.0632,Alpet,True,False
