istasyon_adi,lat,lon,brand
ESKİŞEHİR MERKEZ PETROL VE TİCARET ANONİM ŞİRKETİ,39.797451,30.521778,Alpet
BEYDAĞI PETROL MADENCİLİK TARIM ÜRÜNLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,37.702188,32.57163,Alpet
SAK KAYA PETROL GIDA İNŞAAT SANAYİ TİCARET LİMİTED ŞİRKETİ,37.1531,33.2184,Alpet
ALPET İSTASYON İŞLETMELERİ ANONİM ŞİRKETİ,40.8603,29.3864,Alpet
KONYA TURİZM OTO NAKLİYAT VE PETROL ÜRÜNLERİ SANAYİ TİCARET LİMİTED ŞİRKETİ,37.8686,32.5365,Alpet
AHMET YILMAZ YILDIRIM,38.2877121,31.931993,Alpet
ÇUMRA BELEDİYESİ ALİBEYHÜYÜĞÜ UN VE YEM FABRİKASI PETROL İŞLETMESİ,37.533071,32.666368,Alpet
HEDEFBİR PETROL ÜRÜNLERİ TİCARET LİMİTED ŞİRKETİ,39.02318,31.174444,Alpet
ESPO OSMANLI DİNLENME TESİSLERİ ANONİM ŞİRKETİ,39.6271,30.8216,Alpet
ESPO PETROL - Tanker 06BY1323,39.6271,30.8216,Alpet
HAKAN PETROL TESİSLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,40.778889,29.685278,Alpet
İSTANBUL ENERJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,41.1132,29.0556,Alpet
MEHMET NURİ VURAL,37.7339,32.7512,Alpet
ALPET İSTASYON İŞLETMELERİ ANONİM ŞİRKETİ,40.7877,29.3657,Alpet
ERGÜNLER LOJİSTİK SANAYİ TİCARET LİMİTED ŞİRKETİ,40.7573,29.8023,Alpet
ALPET İSTASYON İŞLETMELERİ ANONİM ŞİRKETİ,40.9389,29.1362,Alpet
ÖZPET PETROL DENİZCİLİK NAKLİYAT İNŞAAT GIDA TURİZM SANAYİ VE TİCARET LİMİTED ŞİRKETİ,36.4623,34.1394,Alpet
POÇAN PETROL TİCARET LİMİTED ŞİRKETİ,38.2034,32.4033,Alpet
TUNASAN GIDA SANAYİ VE TİCARET LİMİTED ŞİRKETİ,36.655109,33.364113,Alpet
HAYDAR ÜNAL NAKLİYAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,37.83882,32.78264,Alpet
ZENGEN PARK PETROL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,40.4998,30.1305,Alpet
MOĞULTAY AKARYAKIT İNŞAAT TAAHHÜT TURİZM SANAYİ VE TİCARET LİMİTED ŞİRKETİ,40.71257,29.91818,Alpet
GÜNEYSINIR BELEDİYESİ UN FABRİKASI PETROL VE OTOBÜS İŞLETMECİLİĞİ,37.2723,32.7226,Alpet
